movie_id,average_sentiment,neg_sentiment,neu_sentiment,pos_sentiment,genres,revenue,runtime,cluster
4767342,-0.2846,0.122,0.774,0.103,"Drama, Filipino, World cinema, Filipino Movies",,116.0,3
28177482,-0.9939,0.191,0.771,0.037,"Crime Fiction, Drama",,96.0,0
3662683,0.8898,0.105,0.777,0.118,"Political cinema, Parody, Political satire, Comedy, Media Satire",16458459.0,108.0,1
35068740,0.981,0.053,0.728,0.219,Drama,,135.0,1
9709159,-0.6151,0.134,0.746,0.119,"Drama, Crime Comedy, Comedy, World cinema",,87.0,0
25094002,0.8519,0.024,0.812,0.164,Comedy,,92.0,1
30673459,0.2168,0.068,0.86,0.071,Thriller,,,2
11624345,-0.9861,0.234,0.708,0.058,"Thriller, World cinema, Action/Adventure, Drama, Romantic drama, Romance Film",,90.0,0
5786261,-0.3288,0.072,0.841,0.086,Musical,,,3
30706685,-0.2023,0.072,0.871,0.056,Comedy film,,108.0,2
33837735,-0.8442,0.336,0.664,0.0,"Action, Adventure",,,0
21132951,-0.9942,0.201,0.747,0.051,"Thriller, Mystery",,115.0,0
18906519,-0.128,0.128,0.753,0.119,"Thriller, Detective, Drama, Film adaptation, Crime Thriller, Film noir",,94.0,1
30490651,0.9705,0.097,0.73,0.173,"Romance Film, Drama",,,1
33745750,-0.7584,0.109,0.81,0.081,Historical drama,,131.0,3
13542692,0.2263,0.07,0.809,0.12,"Drama, Comedy, Black-and-white",,104.0,1
27380443,-0.9761,0.288,0.685,0.027,"Short Film, Comedy",,,0
473286,0.6369,0.068,0.81,0.122,"Romantic comedy, Romance Film, Comedy",13585075.0,108.0,1
33942920,0.9786,0.087,0.807,0.107,"Fantasy, Adventure",,240.0,1
11388102,0.9786,0.035,0.781,0.185,"Drama, Silent film, Comedy-drama, Black-and-white",,65.0,1
19757981,-0.9155,0.199,0.75,0.051,"Short Film, Family Film, Comedy, Black-and-white",,10.0,0
3644125,-0.9979,0.196,0.703,0.101,"Crime Fiction, Thriller, Gangster Film, Prison film, Black-and-white, Drama, Prison",,92.0,0
21450904,-0.875,0.209,0.705,0.087,"Parody, Science Fiction, B-movie, Comedy film, Horror, Action",,93.0,0
11823946,-0.943,0.143,0.744,0.113,"Romantic comedy, Romance Film, Drama, Comedy, Film adaptation",588621.0,134.0,0
6575053,-0.9992,0.214,0.734,0.052,"Thriller, Natural horror films, Science Fiction, Horror, Sci-Fi Horror, Creature Film",8143225.0,99.0,0
21714981,0.7184,0.046,0.861,0.093,Drama,,,2
11990695,-0.9991,0.168,0.802,0.03,"Thriller, Natural horror films, Science Fiction, Horror, Television movie, Action/Adventure, Action",,84.0,3
3649186,-0.943,0.136,0.759,0.105,"Melodrama, Art film, World cinema, Black-and-white, Drama, Romantic drama, Romance Film",,91.0,0
6935978,0.8735,0.044,0.868,0.088,Western,,85.0,2
12092931,0.4215,0.112,0.743,0.145,"Thriller, Romantic drama, Romance Film, Crime Fiction, Drama",,85.0,1
1596505,-0.6369,0.125,0.801,0.074,"Thriller, Ensemble Film, Detective fiction, Indie, Detective, World cinema, Mystery, Drama, Crime Thriller",,121.0,3
11901512,-0.5994,0.109,0.891,0.0,"Short Film, Musical, Horror, Comedy",,22.0,3
25807103,-0.6956,0.092,0.908,0.0,Short Film,,30.0,3
20903293,-0.9913,0.129,0.792,0.078,"Crime Fiction, Action, Drama, Comedy",,,3
27387452,-0.9886,0.13,0.77,0.1,"Family Film, Comedy",,,3
